time (s),Frequency (Hz),Flux (mJy),Flux error
186302.60745277602,372000000000000.0,1.1382077871407897e-06,1.6088570644353022e-07
122262.22090754285,372000000000000.0,4.016170343288971e-06,5.758990598990151e-07
95655.68025423534,372000000000000.0,7.366792476867502e-06,1.2471351002807712e-06
68072.03687298477,372000000000000.0,1.7443050869812474e-05,3.228625961136463e-06
113143.35750308137,372000000000000.0,4.546452697321775e-06,2.0563204206695162e-07
160630.8759489914,372000000000000.0,1.7155761132223874e-06,2.355612556863306e-07
248642.64748630533,372000000000000.0,5.126288256604315e-07,6.807065563820413e-08
576483.3275534704,372000000000000.0,5.0031583973439635e-08,4.171909810025867e-09
56432.73273396083,372000000000000.0,2.3430934072791903e-05,1.9642887835371883e-06
434037.6005227637,372000000000000.0,1.0295238480690586e-07,1.9754987724245466e-08
154351.1744638721,372000000000000.0,2.168189325839786e-06,3.9615378425382187e-07
104223.5400197226,372000000000000.0,6.459043670798569e-06,5.115351255597148e-07
65185.00583472836,372000000000000.0,1.8252211802959093e-05,7.653487026013695e-07
103653.60203023603,372000000000000.0,6.421324447796843e-06,8.194308126199576e-07
69041.41557578514,372000000000000.0,1.6243679303020868e-05,1.7360121268278105e-06
74601.76032364,372000000000000.0,1.3294365768998584e-05,1.1178294987530716e-06
53948.63399792217,372000000000000.0,2.514547524645457e-05,3.1407058834550135e-06
48902.17736383297,372000000000000.0,3.222206152847287e-05,1.8902923925146747e-07
84716.46062983996,372000000000000.0,9.45592900139737e-06,5.454666233242605e-07
81036.87760833693,372000000000000.0,1.0926478406180082e-05,1.1578309682028757e-06
69591.42152383683,372000000000000.0,1.5136151482740292e-05,1.9588282044542693e-06
105116.97239905101,455000000000000.0,4.979836540474647e-06,4.574628327135373e-07
12048.043349662128,455000000000000.0,0.0001515029402939225,1.631299203825565e-05
215194.06869730377,455000000000000.0,7.744808853112364e-07,8.373925493378207e-08
236883.03216976172,455000000000000.0,5.004728145302476e-07,7.936851667093235e-08
649315.5984860667,455000000000000.0,3.11196811385872e-08,1.950281012251705e-09
67552.03227435854,455000000000000.0,1.4076118113648968e-05,7.861483352336163e-07
44685.94477359937,455000000000000.0,3.327433747186771e-05,1.702188469399964e-06
62701.573799202764,455000000000000.0,1.9133467181934077e-05,1.62762264243926e-06
202891.56507758325,455000000000000.0,9.004707653275525e-07,2.6271078422873836e-08
289721.12317595247,455000000000000.0,3.0091000124965223e-07,2.664608153019495e-08
80461.79815734348,455000000000000.0,1.0535574465487104e-05,6.718038959654799e-08
229304.36238033525,455000000000000.0,5.976446879247296e-07,2.1522389612770538e-08
29416.67139142225,455000000000000.0,5.862105281321406e-05,4.43493585450029e-06
88501.61847225916,455000000000000.0,7.659044128020739e-06,7.013366965617557e-07
50163.46646937732,455000000000000.0,2.760393636101494e-05,4.4096253905476865e-06
214928.6472045739,455000000000000.0,6.667384990842545e-07,6.34706834229006e-08
132163.5240889125,455000000000000.0,2.8527493075651917e-06,1.5877393130670285e-07
40380.431800826365,455000000000000.0,3.9463181844129176e-05,6.509982318287851e-06
126952.2324275884,455000000000000.0,2.9207121069651834e-06,5.451881352164184e-07
131554.508111949,455000000000000.0,2.69370253370901e-06,2.517895129546597e-07
151919.84894834235,455000000000000.0,1.8422203032291283e-06,2.1044315842928206e-07
142882.30978766977,455000000000000.0,2.106317657711123e-06,3.282442458936349e-07
42484.92178131656,455000000000000.0,3.32956524659481e-05,5.1612492569857615e-06
142328.23561068936,455000000000000.0,2.2281353986453584e-06,4.0860108573330613e-07
104514.10161934419,455000000000000.0,5.206876979852471e-06,6.88154802336656e-07
204097.96830972756,455000000000000.0,8.551112858607568e-07,6.841035695777615e-08
184545.51243678704,545000000000000.0,9.70361773469206e-07,1.0217711194217884e-07
65467.99852199925,545000000000000.0,1.3072169631200687e-05,1.8437109036820753e-06
115296.30199802441,545000000000000.0,4.023179808399034e-06,4.4396444090683085e-07
160255.87699211988,545000000000000.0,1.3462788339428607e-06,2.4612165269610766e-07
80640.66228497155,545000000000000.0,9.058348664209563e-06,1.403266410437981e-06
47722.6093440703,545000000000000.0,2.5234800307993808e-05,3.1133860458186084e-06
52316.032712827066,545000000000000.0,2.0979966337180688e-05,4.225422409770778e-06
278005.88400305837,545000000000000.0,2.879170819089693e-07,5.589983243509962e-08
238761.8951606286,545000000000000.0,4.5990949069342235e-07,4.294893768800931e-08
195639.0423135507,545000000000000.0,7.582464991255744e-07,3.382899279964105e-08
68952.41588487796,545000000000000.0,1.3491692801131156e-05,2.0602280587798612e-06
81659.74256989565,545000000000000.0,8.22654609942746e-06,5.15092088899715e-07
128515.37917218579,545000000000000.0,2.487504132110852e-06,5.67264525119344e-07
110134.26239224603,545000000000000.0,3.7577618464242853e-06,5.674233127780668e-07
72034.32991443628,545000000000000.0,1.1222600885243374e-05,4.864116164218537e-07
80937.33534427965,545000000000000.0,8.871802883329184e-06,8.910825358864416e-07
177449.81948700218,545000000000000.0,1.0924544676386978e-06,2.18505416387956e-07
49486.79974409961,545000000000000.0,2.4378822120204588e-05,2.4898238582103155e-06
160357.28891180424,545000000000000.0,1.5039248593558737e-06,2.189802098632394e-07
63807.000207485085,545000000000000.0,1.3958624110690765e-05,1.55229301397399e-06
54120.04405958613,545000000000000.0,2.186829456870646e-05,2.6280212368728154e-06
233957.5927875202,545000000000000.0,4.518136349284419e-07,2.979602593038905e-08
33431.94293068763,545000000000000.0,4.342572091510495e-05,6.531888027301202e-06
117516.34879329533,545000000000000.0,3.276539153907093e-06,4.247257121097137e-07
138129.70456788762,545000000000000.0,2.0999219324599465e-06,2.493696356227056e-07
176558.4716543729,545000000000000.0,1.0048697257660762e-06,7.938704632439533e-08
70863.02459347984,545000000000000.0,1.1424537894297765e-05,6.391722841772853e-07
108070.70930986833,545000000000000.0,4.111363643430221e-06,7.386402403988453e-07
186177.41508572613,545000000000000.0,1.0592770250479333e-06,1.3668462375520083e-07
86969.98305961034,1.08e+18,8.26357240879019e-09,1.0403067300352245e-09
68421.13311868787,1.08e+18,1.4809342184302491e-08,3.8174211681420646e-10
39262.721314622606,1.08e+18,4.608423507250762e-08,5.1886490410767345e-09
53451.5968031453,1.08e+18,2.952868781518096e-08,7.4379369654418225e-09
102820.5872713439,1.08e+18,5.440833799298897e-09,7.778134772119924e-10
130597.38432084236,1.08e+18,2.714020552878402e-09,2.0732610111787834e-10
36755.73547446568,1.08e+18,5.1171061701327106e-08,8.430355436184654e-09
50016.551109095584,1.08e+18,3.610627460473026e-08,4.282958539969904e-09
108347.14250596946,1.08e+18,4.68217611222979e-09,7.49599551997501e-11
98429.14739843828,1.08e+18,5.747621555539424e-09,3.0109639475189875e-10
66220.48832876382,1.08e+18,1.7683350451767894e-08,2.5570869325148686e-09
94833.77942261804,1.08e+18,6.320528147100963e-09,1.5923636079955592e-09
57954.331724753385,1.08e+18,2.155132367912048e-08,2.4675192132520546e-09
57205.952194274294,1.08e+18,2.3708568644512298e-08,3.419131990269356e-09
38986.66540406985,1.08e+18,5.1307628650329635e-08,1.2032103976122712e-08
30037.642070404618,1.08e+18,7.788695304367649e-08,6.811652720582892e-09
120128.04335894815,1.08e+18,3.508719961469901e-09,5.228072115527187e-10
68371.34111110978,1.08e+18,1.5236699643345015e-08,3.01257327633358e-09
88856.81295232504,1.08e+18,7.838446877777479e-09,1.6572654402703567e-09
74407.8045215127,1.08e+18,1.2234384866322892e-08,2.3119340932418086e-09
32409.465130633795,1.08e+18,6.841046279596604e-08,1.2355461008302483e-08
53137.30774522475,1.08e+18,3.216630682668347e-08,3.729896845774927e-09
32056.724481613783,1.08e+18,6.910285088218362e-08,1.2057163346388731e-08
60834.05860170399,1.08e+18,2.203082403210471e-08,2.663106235905038e-09
70952.589790449,1.08e+18,1.3398717319139802e-08,7.353147507677987e-10
233069.47242849058,1.08e+18,4.596324753742046e-10,6.326127573948545e-11
80983.67769241684,1.08e+18,1.0058645965691834e-08,1.200492173859359e-09
50869.29671641804,1.08e+18,2.8659930081369417e-08,4.4784970169604625e-09
69461.9505572122,1.08e+18,1.5050497750367822e-08,2.7573850575432943e-09
